Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Reggie Evans,,4.3,3.8,3.0,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2
Charles Jones,87.2,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.0,0.0
Mark Bryant,85.9,3.6,3.2,2.5,2.4,2.3,2.3,2.1,2.1,1.6,1.5,1.1,1.0,0.0
Fred Roberts,85.9,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0
Tom McMillen,85.7,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2.0,1.2,0.8,,
Scott Williams,84.7,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,0.9,0.4,0.3,-0.1
Tom Hawkins,83.7,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1.0,,,
Keith Erickson,83.7,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,
J.R. Reid,83.6,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,,
Othella Harrington,83.3,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8,0.0,0.0,
Vladimir Radmanovic,83.1,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0,
