Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Danny Granger,,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,,
Troy Murphy,88.6,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3
Bob Netolicky,86.3,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,,
Mehmet Okur,85.9,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,
Cincinnatus Powell,85.4,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,,
Wally Szczerbiak,85.2,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,
Mike Mitchell,84.8,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,,
Bob Love,84.3,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2,
Truck Robinson,84.0,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,
Greg Ballard,83.0,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,
Tom Heinsohn,82.1,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6.0,3.6,,,
