Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Beno Udrih,,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.2,1.0,0.8,0.4,,
John Salmons,87.7,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,
Gerald Henderson,86.5,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Raja Bell,85.0,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,
Jim Cleamons,84.7,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,,,,,
Brevin Knight,84.4,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,,
Travis Best,84.2,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,,,,
Nate Robinson,84.2,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0.0,,,
Lester Conner,83.5,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0.0,,
Craig Hodges,83.2,6.0,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,,,,
Jon Barry,82.2,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
