Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Monta Ellis,,9.0,6.0,4.9,4.6,4.3,4.0,3.6,2.6,1.3,0.5,0.2
Kendall Gill,87.6,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,-0.4
Wesley Person,86.1,10.3,6.9,5.2,4.0,3.8,3.7,3.3,2.6,1.6,1.3,1.2
Eddie Johnson,85.9,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,
Eric Snow,85.6,8.4,6.1,5.5,5.5,3.8,3.8,2.1,1.9,1.9,1.3,0.5
Kyle Macy,85.6,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,
Avery Johnson,85.6,9.1,8.0,6.7,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Lou Williams,84.8,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1
Vinnie Johnson,84.7,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.2,2.7,2.3,0.2
J.R. Smith,84.7,6.7,5.8,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Jay Humphries,84.6,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2.0,1.9,1.8,-0.4
