Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2006-07,34,ORL,NBA,SG,4,143,.500,8.6,1.000,.474,.000,.237,.289,.000,.500,.611,,.111,.636,,.579,.079,3,,,,0,0
2007-08,35,PHO,NBA,SF,3,68,.455,13.0,1.000,.273,.000,.091,.636,.000,.455,.333,,.000,.571,,.600,.000,0,,,,0,0
2009-10,37,PHO,NBA,SF,16,452,.480,13.4,.870,.154,.130,.317,.268,.130,.523,.684,.438,.538,.455,.188,.536,.024,3,1.000,.875,.214,0,0
2012-13,40,LAC,NBA,SF,1,20,.500,12.5,1.000,.000,.000,.750,.250,.000,.500,,,.333,1.000,,1.000,.000,0,,,,0,0
