Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,24,683,.483,12.3,.909,.227,.091,.295,.295,.091,.513,.625,.438,.442,.519,.188,.561,.034,6,1.000,.875,.214,0,0
2 seasons,,PHO,NBA,,19,520,.478,13.4,.881,.164,.119,.299,.299,.119,.517,.636,.438,.525,.475,.188,.541,.022,3,1.000,.875,.214,0,0
1 season,,ORL,NBA,,4,143,.500,8.6,1.000,.474,.000,.237,.289,.000,.500,.611,,.111,.636,,.579,.079,3,,,,0,0
1 season,,LAC,NBA,,1,20,.500,12.5,1.000,.000,.000,.750,.250,.000,.500,,,.333,1.000,,1.000,.000,0,,,,0,0
