Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Shareef Abdur-Rahim,,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0.0,,
David Lee,94.3,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.0,3.2,3.0,2.7,,,
John Drew,93.8,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,,,
Jamaal Wilkes,93.4,10.0,8.5,8.3,7.7,7.4,7.3,6.9,6.0,5.1,3.3,0.9,0.0,,
Jack Twyman,92.3,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,,,
Lamar Odom,92.0,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3
Happy Hairston,92.0,9.3,9.2,8.8,7.2,7.0,7.0,6.5,5.3,5.1,4.2,0.4,,,
Dan Roundfield,91.8,9.1,8.7,7.4,7.1,7.0,6.9,6.5,5.1,3.9,2.7,1.3,0.6,,
Bernard King,90.9,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0
Larry Johnson,90.1,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,,
Hot Rod Williams,90.0,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,
