Player,Sim,1,2,3,4,5,6
Festus Ezeli,,2.7,1.7,1.5,,,
Greg Stiemsma,97.0,2.7,1.7,1.5,0.1,,
Reggie Harding,79.8,3.1,2.6,1.6,0.0,,
Jeff Withey,77.2,2.3,1.8,0.8,,,
Jack Toomay,76.6,3.6,1.6,1.1,,,
Kyle O'Quinn,75.7,2.5,1.6,1.6,1.4,,
Charlie Tyra,75.0,2.3,1.5,1.1,0.2,-0.2,
Dewayne Dedmon,74.6,2.4,1.7,0.6,,,
Ed Kalafat,74.5,2.6,2.1,0.7,,,
Howie Schultz,74.3,3.0,2.0,0.6,,,
Tom LaGarde,74.2,2.7,2.2,1.7,0.4,0.0,-0.5
