Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2008-09,19,UTA,NBA,C,48,565,15.2,.540,.000,.276,10.6,18.6,14.6,5.7,1.1,4.3,11.1,18.5,,0.6,0.7,1.3,.112,,-2.3,0.7,-1.6,0.1
2009-10,20,UTA,NBA,C,36,172,7.7,.494,.000,.319,11.3,19.4,15.5,5.1,0.6,1.9,21.9,17.9,,-0.2,0.2,0.0,.014,,-5.7,-0.9,-6.6,-0.2
2010-11,21,TOT,NBA,C,50,434,12.6,.474,.013,.287,14.6,19.1,16.8,2.5,1.1,4.4,15.5,19.9,,-0.2,0.4,0.2,.027,,-5.1,-1.5,-6.7,-0.5
2010-11,21,MIN,NBA,C,39,336,10.4,.447,.019,.222,13.5,18.7,16.0,3.2,1.2,4.5,17.4,18.2,,-0.3,0.3,0.0,-0.004,,-5.5,-0.3,-5.8,-0.3
2010-11,21,DEN,NBA,C,11,98,20.3,.536,.000,.452,18.2,20.6,19.4,0.0,1.0,3.9,10.6,25.6,,0.1,0.1,0.3,.133,,-4.0,-5.7,-9.7,-0.2
2011-12,22,DEN,NBA,C,48,792,17.3,.608,.000,.286,14.4,23.3,19.0,2.9,1.5,4.1,13.2,14.0,,1.7,1.0,2.7,.163,,0.0,1.0,1.0,0.6
2012-13,23,DEN,NBA,C,81,1817,17.2,.585,.002,.205,13.3,21.2,17.3,2.6,1.2,4.4,8.7,14.5,,3.9,2.5,6.5,.171,,0.4,1.1,1.5,1.6
2013-14,24,MEM,NBA,C,80,1349,16.5,.514,.000,.203,14.0,22.7,18.4,4.7,1.3,4.4,11.8,19.4,,1.3,2.2,3.5,.124,,-2.1,1.2,-0.9,0.4
2014-15,25,MEM,NBA,C,81,1348,14.2,.530,.000,.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,,0.8,2.5,3.3,.118,,-3.4,1.9,-1.5,0.2
2015-16,26,SAC,NBA,C,78,1482,15.1,.540,.000,.234,12.4,18.4,15.4,3.3,1.3,3.8,8.9,15.4,,2.1,1.4,3.5,.113,,-1.6,0.4,-1.2,0.3
2016-17,27,SAC,NBA,C,50,959,14.5,.599,.004,.202,10.0,23.1,16.5,4.4,1.4,2.9,14.0,14.5,,1.1,0.9,2.0,.102,,-2.2,0.2,-2.0,0.0
