Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Corey Brewer,,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,,
Donald Royal,92.2,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Pat Garrity,89.0,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0.0,-0.2,
Earl Lloyd,87.2,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,
Lamond Murray,84.7,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3
Glen Davis,84.6,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Luc Mbah a Moute,84.4,4.8,4.7,4.0,2.4,1.6,1.1,1.0,0.5,,,
Kenny Walker,84.1,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,,
David Benoit,83.4,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,,
George Irvine,82.1,5.5,3.7,3.2,2.5,1.2,0.0,,,,,
Andray Blatche,82.1,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,,
