Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2000-01,20,ORL,NBA,SF,82,2390,13.2,.541,.431,.151,3.0,12.4,7.6,9.7,1.1,0.6,9.7,18.5,,3.3,1.9,5.3,.106,,1.1,-1.5,-0.4,1.0
2001-02,21,ORL,NBA,SF,63,2123,15.0,.542,.378,.226,2.6,11.9,7.2,15.2,1.1,0.8,10.9,20.9,,3.1,1.3,4.5,.101,,1.6,-1.4,0.2,1.2
2002-03,22,TOT,NBA,SF,65,2186,14.7,.537,.349,.217,2.4,15.7,8.9,13.5,1.0,0.7,11.7,21.8,,2.7,1.3,4.0,.087,,0.8,-1.5,-0.7,0.7
2002-03,22,ORL,NBA,SF,49,1826,13.9,.521,.362,.212,2.4,15.9,9.0,13.1,1.0,0.6,11.3,21.4,,1.8,1.2,3.0,.080,,0.4,-1.3,-0.8,0.5
2002-03,22,MEM,NBA,SF,16,360,19.0,.614,.291,.238,1.9,15.1,8.6,15.6,0.9,1.0,13.5,24.1,,0.8,0.1,0.9,.124,,2.5,-2.5,0.0,0.2
2003-04,23,MEM,NBA,SF,65,1770,14.9,.532,.349,.229,2.7,11.2,6.9,22.1,1.8,0.6,13.6,20.0,,2.5,1.4,3.9,.107,,1.9,-0.7,1.1,1.4
2004-05,24,MEM,NBA,SF,76,2278,16.7,.614,.422,.196,1.9,13.8,7.9,17.8,1.3,0.8,13.2,19.8,,4.5,2.6,7.0,.148,,3.0,0.0,3.0,2.9
2005-06,25,MEM,NBA,SG,74,2268,17.2,.595,.446,.276,2.3,18.8,10.6,16.5,1.3,1.0,14.1,21.3,,3.9,3.5,7.4,.157,,2.1,0.5,2.6,2.6
2006-07,26,MEM,NBA,SG,70,2740,16.4,.588,.493,.201,2.3,14.2,8.2,18.7,1.0,0.5,14.0,21.1,,4.6,0.3,4.8,.085,,3.7,-1.6,2.1,2.8
2007-08,27,MEM,NBA,SG,70,2474,16.1,.625,.436,.257,2.3,19.0,10.6,16.0,0.7,0.5,16.6,19.8,,3.9,1.1,5.0,.098,,2.2,-0.8,1.4,2.1
2008-09,28,MIN,NBA,SF,73,2356,13.8,.588,.411,.272,3.5,21.2,12.0,21.6,0.7,1.0,19.1,14.5,,2.8,1.4,4.2,.086,,0.6,0.8,1.4,2.1
2009-10,29,WAS,NBA,SG,54,1805,13.9,.623,.395,.196,3.5,18.2,10.7,18.4,1.1,0.5,19.6,14.7,,2.5,1.4,3.9,.104,,1.4,0.7,2.0,1.8
2010-11,30,MIA,NBA,SG,41,838,9.7,.525,.584,.168,5.7,19.5,13.0,9.1,1.3,0.2,15.9,14.4,,0.4,1.2,1.6,.090,,-0.8,0.2,-0.6,0.3
2011-12,31,MIA,NBA,SG,39,752,11.4,.561,.560,.024,3.6,16.2,10.2,8.7,1.0,0.6,12.4,14.9,,0.8,1.0,1.8,.113,,0.1,-0.7,-0.6,0.3
2012-13,32,MIA,NBA,SF,59,900,13.5,.596,.758,.048,2.6,18.0,10.7,16.2,1.2,0.4,12.9,14.4,,1.6,1.0,2.6,.137,,1.6,-1.0,0.6,0.6
2013-14,33,MEM,NBA,SF,82,1707,12.5,.619,.526,.126,2.1,12.3,7.2,11.5,0.8,0.2,14.1,14.7,,2.6,1.4,3.9,.111,,1.0,-1.0,0.1,0.9
2014-15,34,CLE,NBA,SF,52,701,4.6,.471,.860,.035,0.7,14.0,7.4,9.0,1.0,0.5,16.6,8.9,,-0.1,0.5,0.4,.028,,-2.6,-0.3,-3.0,-0.2
2015-16,35,DEN,NBA,SF,47,373,6.5,.508,.839,.000,1.8,14.2,7.9,14.9,1.7,0.9,21.5,9.3,,0.1,0.3,0.3,.040,,-2.5,-0.3,-2.7,-0.1
2016-17,36,DEN,NBA,SF,9,49,10.7,.643,.800,.200,4.5,27.3,15.9,19.0,0.0,0.0,31.5,13.7,,0.0,0.0,0.0,.046,,-1.5,-1.9,-3.4,0.0
