Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,GSW,NBA,SF,82,3,15.9,2.0,5.1,.403,0.6,1.8,.347,1.4,3.3,.434,.465,1.0,1.2,.780,0.8,1.8,2.6,1.3,0.6,0.2,1.0,1.5,5.7
2003-04,23,GSW,NBA,SF,75,69,31.1,4.3,9.6,.449,1.3,3.4,.370,3.1,6.2,.491,.514,1.8,2.5,.741,1.2,4.7,5.9,2.9,0.9,0.2,1.9,2.3,11.7
2004-05,24,GSW,NBA,SF,79,79,32.5,5.2,11.5,.451,1.4,3.5,.388,3.8,8.0,.479,.510,1.7,2.2,.779,1.2,4.3,5.5,2.6,1.0,0.3,1.7,2.5,13.4
2005-06,25,GSW,NBA,SF,81,68,31.8,4.1,10.1,.406,0.9,3.2,.285,3.2,6.9,.462,.451,2.4,3.1,.778,1.0,4.0,4.9,2.9,0.7,0.4,1.5,2.5,11.5
2006-07,26,TOT,NBA,SG-PF,82,49,31.5,4.7,10.4,.452,0.9,2.7,.313,3.8,7.6,.502,.493,2.6,3.3,.784,1.0,4.2,5.3,2.8,1.0,0.3,1.8,2.5,12.8
2006-07,26,GSW,NBA,PF,39,6,26.9,4.3,9.5,.449,0.9,2.7,.346,3.3,6.8,.489,.497,2.0,2.6,.772,1.0,3.8,4.8,3.0,1.0,0.3,1.8,2.1,11.4
2006-07,26,IND,NBA,SG,43,43,35.6,5.1,11.2,.454,0.8,2.8,.283,4.3,8.4,.511,.490,3.1,3.9,.792,1.0,4.7,5.7,2.6,1.1,0.2,1.8,2.8,14.0
2007-08,27,IND,NBA,SG,82,82,36.0,6.5,13.6,.476,2.0,4.7,.424,4.5,8.9,.504,.550,4.1,4.9,.834,0.7,4.5,5.2,3.5,1.0,0.4,2.3,2.5,19.1
2008-09,28,IND,NBA,SG,18,14,27.5,5.2,12.9,.401,1.8,5.0,.356,3.4,7.9,.430,.470,2.9,3.6,.815,0.8,3.0,3.8,2.4,0.7,0.5,2.1,2.0,15.1
2009-10,29,IND,NBA,SF,67,15,22.2,3.4,8.3,.410,1.1,3.5,.318,2.3,4.8,.478,.478,2.0,2.4,.842,0.4,3.1,3.5,1.5,0.6,0.2,1.1,1.6,9.9
2010-11,30,IND,NBA,SG,61,44,27.6,3.9,8.5,.462,1.7,4.2,.402,2.3,4.4,.519,.560,1.6,2.0,.800,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,11.2
2011-12,31,MIL,NBA,SF,55,3,26.3,4.3,9.2,.474,1.5,3.8,.399,2.8,5.4,.527,.557,2.1,2.6,.811,0.5,3.2,3.7,2.1,0.5,0.1,1.1,1.6,12.3
2012-13,32,MIL,NBA,SF,75,3,25.9,3.7,8.3,.442,1.7,4.0,.428,2.0,4.3,.455,.545,1.4,1.7,.820,0.4,3.5,3.9,1.9,0.5,0.5,1.2,1.8,10.5
2013-14,33,CHI,NBA,SF,82,61,31.5,4.1,9.4,.430,1.5,4.0,.380,2.6,5.5,.467,.510,1.7,2.0,.854,0.6,3.6,4.2,2.3,0.8,0.6,1.3,2.0,11.3
2014-15,34,CHI,NBA,SF,63,63,29.2,3.3,7.6,.435,1.7,4.2,.407,1.6,3.5,.468,.546,1.1,1.4,.805,0.4,3.5,3.9,1.8,0.6,0.3,1.0,2.0,9.4
2015-16,35,CHI,NBA,SF,31,30,22.7,2.5,6.1,.410,1.3,3.2,.394,1.2,2.9,.427,.513,0.9,1.2,.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2
2016-17,36,TOT,NBA,SF,35,2,16.7,1.9,4.3,.428,1.0,2.7,.387,0.8,1.7,.492,.546,0.7,0.9,.767,0.3,1.9,2.3,1.0,0.3,0.1,0.6,1.3,5.4
2016-17,36,CLE,NBA,SF,23,2,15.9,1.6,3.9,.400,0.9,2.5,.351,0.7,1.4,.485,.511,0.6,0.8,.737,0.2,1.8,2.0,0.9,0.3,0.1,0.6,1.4,4.6
2016-17,36,ATL,NBA,SF,12,0,18.1,2.4,5.2,.468,1.3,3.0,.444,1.1,2.2,.500,.597,0.8,0.9,.818,0.6,2.1,2.7,1.2,0.4,0.2,0.5,1.3,6.9
