Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Marcus Camby,,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0
Nate Thurmond,93.1,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,,,
Alvan Adams,84.9,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2,,,,
Vlade Divac,83.6,9.5,8.3,7.4,7.4,7.3,7.3,7.2,7.0,6.1,5.9,5.6,5.3,5.2,5.0,1.8,0.0,
Billy Paultz,82.9,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.3,0.1,0.0,,
Zydrunas Ilgauskas,82.8,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,,,
Tyson Chandler,82.5,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.8,3.4,2.9,1.9,1.8,,
Brad Miller,82.0,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1,0.2,,,
Tom Owens,81.0,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,,,,,
Al Jefferson,80.9,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,,,,,
Tree Rollins,79.4,9.2,7.3,6.4,6.4,5.5,5.0,4.9,4.1,3.8,3.4,2.6,1.7,1.0,0.9,0.7,0.2,0.1
