Player,Sim,1,2,3,4,5,6,7,8
Wilson Chandler,,3.9,3.6,3.1,3.1,3.1,2.7,0.5,-0.1
Willie Norwood,86.3,3.8,3.5,3.3,3.0,2.6,1.1,0.5,
John Tresvant,85.8,4.1,3.8,3.5,3.3,2.8,2.7,2.6,0.1
Dave Stallworth,85.5,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0
Dwight Jones,85.0,3.9,3.8,3.1,2.9,2.9,2.7,2.6,1.3
Trevor Booker,85.0,4.3,4.3,3.6,3.0,2.6,2.3,,
Charles Jones,83.7,3.8,3.2,2.9,2.8,2.2,2.2,1.6,0.0
Tom McMillen,83.6,3.9,3.7,2.9,2.9,2.5,2.2,2.0,0.8
Ron Anderson,83.3,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Tyler Hansbrough,82.3,4.4,3.9,3.8,3.4,3.0,1.0,0.7,
Ryan Gomes,82.3,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2
