Season,Team,Lg,Salary
2007-08,New York Knicks,NBA,"$1,091,640"
2008-09,New York Knicks,NBA,"$1,173,480"
2009-10,New York Knicks,NBA,"$1,255,440"
2010-11,Denver Nuggets,NBA,"$2,130,482"
2012-13,Denver Nuggets,NBA,"$5,930,414"
2013-14,Denver Nuggets,NBA,"$6,344,164"
2014-15,Denver Nuggets,NBA,"$6,757,913"
2015-16,Denver Nuggets,NBA,"$10,500,000"
