Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2003-04,19,ORL,NBA,C,59,664,10.8,.452,.000,.514,11.5,18.3,14.9,3.1,1.7,1.3,13.7,16.9,,0.1,0.2,0.3,.023,,-4.1,-2.5,-6.6,-0.8
2004-05,20,MIL,NBA,C,74,1397,14.4,.526,.003,.523,10.9,20.9,15.9,6.8,1.7,1.8,13.9,16.5,,1.6,1.3,2.9,.099,,-1.3,0.7,-0.6,0.5
2005-06,21,ATL,NBA,C,78,2452,15.0,.530,.003,.593,12.6,17.6,15.0,8.5,1.9,1.2,17.3,19.2,,2.5,1.4,3.9,.077,,-0.6,-0.3,-0.9,0.7
2006-07,22,ATL,NBA,C,72,2026,16.8,.562,.002,.607,11.7,18.1,14.9,9.2,2.0,1.4,17.2,21.3,,2.7,2.1,4.8,.114,,-0.2,0.1,-0.1,1.0
2007-08,23,ATL,NBA,C,62,944,11.0,.515,.012,.624,11.0,19.5,15.3,6.0,1.3,1.0,18.1,18.3,,0.2,0.9,1.1,.054,,-3.6,-1.2,-4.8,-0.7
2008-09,24,ATL,NBA,C,77,1473,14.1,.571,.009,.719,13.8,20.9,17.4,6.0,1.3,1.4,17.8,16.3,,2.0,1.9,3.9,.127,,-1.5,0.2,-1.3,0.2
2009-10,25,ATL,NBA,C,78,1089,13.1,.539,.016,.581,12.4,19.0,15.7,5.6,1.8,2.2,15.8,15.5,,1.2,1.5,2.7,.121,,-1.7,0.8,-0.9,0.3
2010-11,26,ATL,NBA,C,79,1244,12.4,.562,.000,.772,11.6,20.6,16.1,7.0,1.5,1.3,18.2,14.5,,1.5,1.6,3.1,.118,,-2.2,0.8,-1.5,0.2
2011-12,27,ATL,NBA,C,58,1640,14.0,.557,.000,.466,11.1,21.5,16.4,7.4,1.8,1.4,16.5,14.0,,2.3,2.8,5.0,.147,,-1.0,2.3,1.4,1.4
2012-13,28,ATL,NBA,C,52,1134,13.1,.534,.012,.427,13.5,20.3,17.0,10.3,1.6,0.8,19.6,14.6,,1.2,1.5,2.7,.116,,-1.6,1.6,0.0,0.6
2013-14,29,MIL,NBA,C,53,1325,14.0,.502,.003,.372,11.8,17.1,14.4,16.3,1.8,0.9,18.5,17.0,,1.0,0.7,1.7,.060,,-1.0,0.3,-0.7,0.4
2014-15,30,MIL,NBA,C,73,1730,15.6,.506,.006,.302,13.1,19.9,16.5,16.2,2.4,1.0,18.2,19.1,,1.3,2.9,4.2,.116,,-0.9,2.2,1.4,1.5
2015-16,31,DAL,NBA,C,76,2004,16.2,.550,.006,.587,13.7,25.7,19.7,9.7,1.6,0.9,16.8,16.2,,3.4,2.7,6.0,.145,,-0.8,2.2,1.4,1.7
2016-17,32,GSW,NBA,C,44,826,15.9,.589,.000,.484,13.5,21.1,17.6,13.4,2.4,1.7,20.2,14.3,,1.6,1.6,3.1,.182,,0.2,3.2,3.4,1.1
