Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ruben Patterson,,6.7,5.6,5.5,5.4,3.4,3.2,3.0,2.1,0.2,0.1,
Larry Siegfried,92.3,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,,
Kenny Carr,89.4,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0.0,
Jim Washington,87.5,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0
Channing Frye,87.4,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8,
Bill Bradley,87.3,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,
Carl Landry,87.1,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,
Gus Johnson,86.9,7.2,5.9,5.3,5.1,5.0,3.5,2.2,1.6,0.9,0.1,
Jeff Green,86.7,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.2,,,
Terry Tyler,86.7,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2
Loy Vaught,86.5,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1.0,0.5,0.2,-0.2
