Player,Sim,1,2,3,4,5
Hamed Haddadi,,0.6,0.6,0.4,0.1,0.0
Didier Ilunga-Mbenga,79.8,0.5,0.4,0.3,0.1,0.0
Mamadou N'Diaye,73.2,0.8,0.6,0.3,0.2,0.0
Olumide Oyedeji,70.8,0.4,0.4,0.3,,
Shawnelle Scott,70.4,0.5,0.4,0.2,0.2,
Dave Newmark,69.9,0.8,0.7,0.4,,
Todd Fuller,68.6,0.7,0.7,0.6,0.2,0.0
Jabari Smith,67.4,0.7,0.5,0.2,0.0,
Dave Feitl,66.9,0.5,0.4,0.3,0.2,0.1
Roger Brown,62.0,0.9,0.7,0.4,0.2,0.1
Jawann Oldham,58.9,1.0,0.5,0.3,0.0,0.0
