Player,Sim,1,2,3,4,5,6,7,8
JaVale McGee,,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1
Kevin Kunnert,89.4,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2
Jason Collins,87.7,4.9,4.7,3.9,3.0,2.0,0.6,0.1,-0.2
Randy Breuer,86.5,5.1,4.5,3.0,2.4,2.0,1.0,0.9,0.3
Tim McCormick,85.5,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1
Dennis Awtrey,85.3,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0
Benoit Benjamin,83.7,5.4,5.1,4.0,3.0,2.2,2.0,1.1,0.9
Nenad Krstic,83.2,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,
Otto Moore,83.0,5.0,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Blair Rasmussen,82.9,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1
Omer Asik,82.7,5.5,5.0,2.7,2.6,2.4,1.7,,
