Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,24,DEN,NBA,C,78,2457,.477,9.7,.829,.437,.140,.079,.172,.171,.499,.648,.342,.375,.307,.367,.693,.103,76,.961,.151,.524,0,0
2001-02,25,TOT,NBA,C,78,2455,.458,12.2,.709,.359,.104,.075,.171,.291,.486,.639,.323,.333,.331,.388,.719,.049,43,.971,.246,.470,0,0
2001-02,25,DEN,NBA,C,51,1668,.466,12.1,.737,.347,.114,.085,.191,.263,.477,.655,.333,.321,.310,.434,.733,.047,29,.960,.266,.478,0,0
2001-02,25,DAL,NBA,C,27,787,.437,12.5,.636,.387,.080,.050,.119,.364,.512,.604,.286,.385,.419,.305,.682,.054,14,1.000,.211,.450,0,0
2002-03,26,DAL,NBA,C,69,1611,.518,10.3,.774,.473,.060,.043,.198,.226,.550,.646,.323,.318,.441,.405,.795,.111,54,1.000,.336,.410,0,0
2003-04,27,BOS,NBA,C,17,328,.460,14.5,.677,.282,.081,.065,.250,.323,.583,.657,.400,.625,.548,.200,.694,.000,0,.875,.325,.231,0,0
2004-05,28,BOS,NBA,PF,80,2196,.496,11.7,.673,.449,.064,.028,.132,.327,.559,.660,.341,.316,.374,.364,.788,.073,46,.988,.311,.457,0,0
2005-06,29,BOS,NBA,PF,82,2033,.431,17.4,.482,.205,.043,.043,.190,.518,.474,.513,.250,.417,.495,.392,.794,.024,11,.991,.241,.464,0,0
2006-07,30,POR,NBA,PF,27,352,.382,14.0,.775,.255,.118,.049,.353,.225,.468,.577,.583,.400,.361,.087,.757,.000,0,.500,.174,.250,0,0
2007-08,31,POR,NBA,C,39,291,.443,6.9,.934,.590,.082,.049,.213,.066,.474,.556,.200,.000,.462,.000,.778,.016,1,,.500,.000,0,0
