Player,Sim,1,2,3,4
Dajuan Wagner,,0.3,0.0,-0.1,-0.2
Sean Higgins,-39.6,0.4,0.0,0.0,-0.1
Michael Phelps,-50.2,0.3,0.1,-0.1,
Andre Barrett,-52.1,0.4,0.0,0.0,-0.1
Brad Holland,-53.6,0.3,0.1,-0.1,
Cliff Anderson,-54.8,0.4,0.1,0.0,-0.2
Stephen Graham,-56.6,0.4,0.0,0.0,-0.1
Jaren Jackson,-56.6,0.4,0.1,0.0,-0.1
Troy Hudson,-58.1,0.5,0.1,0.0,-0.2
Malcolm Lee,-59.8,0.4,0.1,0.0,
Russ Lee,-60.7,0.3,0.2,0.0,
