Player,Sim,1,2,3,4,5
James Anderson,,1.9,0.9,0.5,0.3,-0.3
Doug Overton,85.6,1.7,0.9,0.6,0.2,-0.4
Kevin McKenna,80.5,1.7,0.9,0.7,0.6,-0.3
Emanual Davis,78.4,1.8,0.5,0.3,0.3,-0.3
Felipe Lopez,77.8,1.9,0.5,0.4,0.3,
Chris Carr,76.0,1.7,1.1,0.3,0.2,-0.3
Mo Layton,74.0,1.9,1.1,1.0,0.3,0.1
Steve Alford,73.0,1.4,0.9,0.6,0.3,
Lloyd Daniels,72.6,1.8,1.1,0.2,0.1,0.0
Garrett Temple,72.4,1.5,1.2,0.4,0.3,-0.4
Robert Hawkins,72.1,1.9,0.6,0.3,0.1,
