Player,Sim,1,2,3,4,5,6,7,8
Loren Woods,,1.1,0.7,0.5,0.4,0.4,0.1,,
Ray Tolbert,74.3,1.1,0.8,0.7,0.3,0.0,,,
Eddie Lee Wilkins,73.4,0.8,0.8,0.5,0.3,0.3,-0.1,,
Bill Hosket,72.8,1.0,1.0,0.6,0.5,,,,
Josh Powell,72.5,1.1,0.7,0.6,0.3,0.0,0.0,-0.2,
Maceo Baston,72.0,1.1,0.5,0.4,0.3,,,,
Cartier Martin,71.3,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,
Yi Jianlian,70.7,1.3,0.7,0.7,0.4,0.0,,,
Shavlik Randolph,69.6,1.1,0.7,0.4,0.1,0.0,0.0,0.0,0.0
Steve Green,68.4,1.2,1.1,0.7,0.4,,,,
D.J. White,67.2,1.8,0.8,0.6,0.4,0.2,0.0,,
