Player,Sim,1,2,3,4,5,6
Loren Woods,,1.1,0.7,0.5,0.4,0.4,0.1
Greg Foster,83.2,1.0,0.6,0.6,0.5,0.2,0.0
Cartier Martin,76.7,1.3,0.8,0.7,0.7,0.4,0.1
Chris Crawford,75.7,1.3,0.9,0.6,0.6,0.2,0.1
Ray Tolbert,74.3,1.1,0.8,0.7,0.3,0.0,
Eddie Lee Wilkins,73.4,0.8,0.8,0.5,0.3,0.3,-0.1
Josh Powell,73.4,1.1,0.7,0.6,0.3,0.0,-0.2
Bill Hosket,72.8,1.0,1.0,0.6,0.5,,
Maceo Baston,72.0,1.1,0.5,0.4,0.3,,
Yi Jianlian,70.7,1.3,0.7,0.7,0.4,0.0,
Steve Green,68.4,1.2,1.1,0.7,0.4,,
