Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
David Lee,,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.0,3.2,3.0,2.7,,,,
Shareef Abdur-Rahim,94.3,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0.0,,,
John Drew,93.1,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,,,,
Lamar Odom,92.3,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3,
Larry Johnson,91.6,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,,,
Bernard King,91.1,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0,
Jamaal Wilkes,90.8,10.0,8.5,8.3,7.7,7.4,7.3,6.9,6.0,5.1,3.3,0.9,0.0,,,
Happy Hairston,90.2,9.3,9.2,8.8,7.2,7.0,7.0,6.5,5.3,5.1,4.2,0.4,,,,
Jack Twyman,89.9,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,,,,
Dan Roundfield,89.5,9.1,8.7,7.4,7.1,7.0,6.9,6.5,5.1,3.9,2.7,1.3,0.6,,,
Zach Randolph,88.0,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5
