Player,Sim,1,2,3,4,5
Kyrylo Fesenko,,0.6,0.3,0.1,0.0,-0.1
Jabari Smith,65.4,0.7,0.5,0.2,0.0,
George Zidek,58.5,0.6,0.3,0.0,,
Byron Mullens,58.0,0.5,0.2,0.1,-0.1,-0.2
Chris Welp,57.9,0.7,0.3,0.0,,
Alan Ogg,56.3,0.5,0.3,0.0,,
Stojko Vrankovic,54.8,0.9,0.4,0.1,0.0,-0.1
Shawnelle Scott,49.8,0.5,0.4,0.2,0.2,
Olumide Oyedeji,48.0,0.4,0.4,0.3,,
Hamed Haddadi,46.6,0.6,0.6,0.4,0.1,0.0
Dave Feitl,46.5,0.5,0.4,0.3,0.2,0.1
