Player,Sim,1,2,3,4,5,6,7,8,9,10
Jarvis Hayes,,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,,
McCoy McLemore,89.2,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,,
Darrell Arthur,85.8,3.8,2.3,1.7,1.7,0.9,0.7,0.3,,,
Steve Kuberski,84.1,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,
Mark Acres,83.9,2.5,2.2,1.9,1.6,0.9,0.3,,,,
David Wood,83.5,2.8,2.3,2.2,1.3,1.0,0.5,0.0,,,
Ryan Bowen,82.6,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1
Marty Conlon,82.1,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1,
Willie Burton,80.6,2.6,2.1,2.0,1.6,0.5,0.2,0.1,-0.1,,
Mark Madsen,80.6,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,
Damien Wilkins,80.0,2.8,1.9,1.9,1.7,1.5,1.0,1.0,0.4,0.0,
