Player,Sim,1,2,3,4,5,6,7
Speedy Claxton,,4.2,3.7,3.0,2.8,1.2,0.0,-0.7
Ricky Davis,89.4,4.4,4.2,3.0,2.8,1.1,0.2,0.2
Adrian Griffin,87.3,3.9,3.5,2.9,2.9,1.3,0.4,0.1
Eric Money,87.3,4.2,3.6,3.3,2.7,0.6,0.3,
Bradley Beal,85.9,4.0,3.7,3.0,2.7,,,
Devean George,85.9,4.2,3.4,2.7,2.6,0.7,0.3,-0.3
Jim McElroy,85.4,4.9,3.5,2.9,2.6,0.8,0.3,-0.9
Calbert Cheaney,84.2,4.1,3.9,3.2,3.2,1.2,0.8,0.4
T.J. Ford,83.2,4.3,4.3,3.3,2.5,1.4,0.7,0.2
Jamaal Tinsley,82.9,4.4,3.7,2.8,2.8,1.7,0.8,0.7
Whitey Skoog,82.3,4.1,3.6,2.9,1.9,1.0,0.7,
