Player,Sim,1,2,3,4,5,6,7,8,9
Etan Thomas,,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Tim Bassett,86.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,
Darius Songaila,85.6,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,
James Bailey,84.7,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3
David Benoit,82.6,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,
Ed Manning,82.3,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3
John Brown,82.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,
Danny Vranes,82.1,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,
Tim Perry,81.9,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,
Scott Padgett,81.2,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,
Ron Behagen,81.2,4.3,2.4,2.2,2.0,1.8,0.2,0.1,,
