Player,Sim,1,2,3,4,5
Zeljko Rebraca,,3.3,2.4,1.3,0.7,0.5
Mike Brown,89.3,3.7,2.4,1.4,1.0,0.7
Ian Mahinmi,88.3,3.4,2.3,1.8,0.7,0.2
Chris Mihm,87.5,3.6,2.9,1.3,0.9,0.7
Cherokee Parks,85.7,3.8,2.2,1.4,0.9,0.2
Michael Doleac,85.2,3.0,2.2,1.5,0.3,0.3
Spencer Hawes,85.1,2.9,2.4,2.1,0.8,0.6
Steven Hunter,83.5,2.6,2.5,1.0,0.9,0.6
Chris Dudley,81.5,3.4,2.2,1.0,0.2,0.1
Jim McIlvaine,81.3,3.0,1.9,1.8,0.8,0.3
Luc Longley,80.4,3.5,2.2,1.8,0.2,0.2
