Player,Sim,1,2,3,4,5,6
Joey Graham,,3.0,2.2,1.3,1.1,0.3,0.0
Sam Mack,91.4,2.8,1.9,1.3,1.1,0.3,0.0
James Singleton,90.5,3.0,2.3,1.1,1.0,0.7,
Tony Massenburg,88.8,2.8,2.2,1.7,1.3,0.4,-0.1
Jon Leuer,88.6,2.7,2.0,1.4,1.3,0.2,
Mark Alarie,88.5,3.1,2.2,1.5,0.9,0.6,
Brady Walker,88.2,2.8,1.9,1.2,1.0,,
Bruce Seals,84.0,2.9,2.4,1.6,0.6,0.3,
Simmie Hill,83.9,3.1,1.6,1.2,1.0,,
Jared Jeffries,83.3,3.1,2.6,1.2,0.6,0.3,0.1
Joel Kramer,82.8,3.0,2.9,1.4,1.0,0.8,
