Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,TOR,NBA,C,1,0,16:35,3,7,.429,0,0,,2,3,.667,2,8,2,0,0,1,1,8
2006-07,22,TOR,NBA,C,1,1,22:29,5,7,.714,0,0,,1,2,.500,3,7,1,0,0,0,0,11
2007-08,23,TOR,NBA,C,1,1,21:32,7,15,.467,0,0,,0,2,.000,2,7,1,0,0,1,1,14
2008-09,24,TOR,NBA,C,,,,,,,,,,,,,,,,,,,,
2009-10,25,TOR,NBA,C,1,0,29:08,9,16,.563,0,0,,5,7,.714,2,10,1,2,0,3,0,23
2010-11,26,MIA,NBA,PF,1,0,20:56,7,10,.700,0,1,.000,0,1,.000,2,5,2,0,1,3,0,14
2011-12,27,MIA,NBA,PF,1,0,20:08,3,9,.333,1,2,.500,0,0,,1,2,1,2,1,1,2,7
2012-13,28,MIA,NBA,C,1,1,23:22,3,9,.333,0,3,.000,0,0,,0,2,1,1,0,3,3,6
2013-14,29,MIA,NBA,C,1,0,10:07,2,3,.667,1,2,.500,0,0,,0,2,0,2,0,1,1,5
2014-15,30,MIA,NBA,C,1,0,10:55,4,6,.667,2,4,.500,0,0,,1,3,1,2,0,1,0,10
2015-16,31,MIA,NBA,PF,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
