Player,Sim,1,2,3,4,5
Eddie Griffin,,3.9,3.2,2.4,1.5,-0.2
Reggie Johnson,96.4,3.9,3.0,2.4,1.6,
John Henson,92.0,3.6,3.3,2.3,1.9,
Richard Washington,91.9,3.9,3.2,2.1,2.0,0.0
Derrek Dickey,91.5,3.8,3.1,2.3,1.7,0.3
Bill Garnett,91.1,3.9,3.5,2.0,1.5,
Chuck Cooper,91.1,3.3,3.1,2.4,1.7,0.0
Ron Anderson,90.6,4.4,3.1,2.5,1.5,0.3
Dwight Davis,89.6,3.7,3.3,2.3,1.5,0.6
Luke Walton,89.6,3.8,3.2,2.0,1.6,0.5
Collis Jones,89.3,4.2,3.2,2.1,1.2,
