Player,Sim,1,2,3,4
Maciej Lampe,,0.1,-0.1,-0.2,
Dennis Bell,66.8,0.1,0.0,0.0,
Mouhamed Sene,56.5,0.2,0.2,0.0,
Brian Evans,54.7,1.5,0.1,0.1,
Jacky Dorsey,38.2,0.2,0.2,-0.1,
Mark Randall,34.7,0.5,0.3,0.2,0.0
Alando Tucker,34.6,0.2,0.1,0.0,
Doug Edwards,32.4,0.2,0.1,0.0,
Cedric Simmons,32.2,0.3,0.0,-0.2,
J.J. Anderson,19.7,2.3,0.2,0.1,
Jackie Robinson,16.9,0.2,0.1,0.0,
