Player,Sim,1,2,3,4,5,6,7,8,9,10
Craig Smith,,3.9,3.5,3.1,3.0,1.5,1.0,,,,
Al-Farouq Aminu,94.8,4.0,3.3,3.1,3.1,1.4,0.7,,,,
Kenny Gattison,90.9,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0,
Willie Norwood,90.1,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,,
Glen Gondrezick,86.6,3.6,3.1,3.1,2.7,2.5,0.9,,,,
Jonas Jerebko,86.4,4.4,3.5,3.3,2.4,2.0,1.4,,,,
Nick Weatherspoon,86.2,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,,
Jumaine Jones,85.3,3.7,3.3,3.0,2.9,2.3,0.1,0.0,-0.2,,
Lionel Simmons,85.2,4.3,3.8,3.8,2.7,1.1,0.9,0.3,,,
Kenny Walker,85.2,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,
Ronny Turiaf,85.1,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0
