Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2002-03,21,TOT,NBA,SF-PF,70,1873,15.0,.503,.062,.273,9.8,17.7,13.7,7.8,1.5,1.3,14.7,24.5,,0.4,1.3,1.7,.043,,-1.9,-1.4,-3.3,-0.6
2002-03,21,MEM,NBA,SF,51,1329,13.8,.486,.080,.229,9.0,15.9,12.5,8.3,1.5,1.1,14.2,25.0,,-0.3,0.7,0.4,.015,,-2.0,-1.6,-3.6,-0.5
2002-03,21,ORL,NBA,PF,19,544,18.0,.548,.010,.398,11.9,22.1,16.8,6.6,1.4,1.8,16.0,23.1,,0.7,0.6,1.3,.112,,-1.6,-0.9,-2.4,-0.1
2003-04,22,ORL,NBA,PF,79,2134,15.6,.484,.051,.316,8.3,19.3,13.7,7.5,1.5,2.4,11.8,22.7,,1.0,0.9,1.9,.043,,-1.9,-1.3,-3.3,-0.7
2004-05,23,CLE,NBA,PF,82,2523,19.7,.548,.030,.329,9.5,26.1,17.6,9.1,1.6,2.2,11.0,21.7,,4.7,3.8,8.5,.163,,0.2,0.7,0.9,1.8
2005-06,24,CLE,NBA,PF,79,2174,17.6,.552,.005,.396,12.8,23.5,18.1,4.4,1.3,1.7,12.2,18.6,,3.6,2.9,6.6,.145,,-0.9,0.1,-0.8,0.7
2006-07,25,CLE,NBA,PF,80,2238,16.5,.508,.008,.254,13.3,22.3,17.7,6.7,1.7,1.0,11.7,20.0,,2.4,4.1,6.5,.139,,-1.2,1.2,0.0,1.1
2007-08,26,TOT,NBA,PF,69,2122,13.8,.495,.008,.291,9.1,23.0,15.8,6.5,1.2,2.0,12.8,20.3,,0.5,2.8,3.3,.074,,-3.4,0.3,-3.1,-0.6
2007-08,26,CLE,NBA,PF,51,1564,12.5,.487,.006,.289,8.3,23.0,15.4,5.4,1.2,1.5,13.4,19.7,,-0.1,2.1,2.0,.060,,-4.2,0.0,-4.2,-0.9
2007-08,26,CHI,NBA,PF,18,558,17.4,.514,.014,.295,11.3,22.8,16.9,9.7,1.2,3.2,11.2,21.9,,0.6,0.8,1.3,.114,,-1.2,1.1,0.0,0.3
2008-09,27,TOT,NBA,PF,51,1264,16.3,.526,.008,.308,10.4,22.6,16.6,6.3,1.2,1.0,11.7,23.5,,1.1,1.6,2.7,.102,,-2.2,-1.3,-3.5,-0.5
2008-09,27,CHI,NBA,PF,31,918,15.3,.514,.009,.276,10.3,22.8,16.6,7.7,1.5,1.1,12.6,21.9,,0.6,1.1,1.7,.090,,-1.8,-0.3,-2.1,0.0
2008-09,27,SAC,NBA,PF,1,26,18.7,.607,.000,.222,13.4,45.2,29.2,13.8,0.0,0.0,23.3,22.2,,0.0,0.0,0.0,.082,,-3.4,-2.1,-5.6,0.0
2008-09,27,SAS,NBA,PF,19,320,18.8,.550,.007,.393,10.6,20.2,15.5,1.7,0.7,0.9,8.6,28.2,,0.5,0.5,0.9,.139,,-3.3,-4.2,-7.5,-0.4
2009-10,28,TOT,NBA,C-PF,70,1755,16.9,.547,.013,.359,13.7,21.9,17.8,4.4,1.2,2.5,13.4,21.0,,2.3,2.2,4.4,.121,,-1.6,-0.3,-1.9,0.0
2009-10,28,DAL,NBA,C,46,1030,16.1,.528,.018,.342,13.9,21.2,17.6,4.0,1.3,3.6,12.7,19.8,,1.1,1.6,2.7,.125,,-2.1,0.7,-1.3,0.2
2009-10,28,LAC,NBA,PF,24,725,18.0,.572,.008,.380,13.4,22.8,18.1,5.0,1.1,0.8,14.3,22.6,,1.1,0.6,1.7,.114,,-1.0,-1.7,-2.8,-0.1
2010-11,29,MIL,NBA,PF,35,860,15.9,.487,.055,.282,9.6,22.9,16.1,10.3,1.3,1.6,10.2,24.6,,0.3,1.5,1.8,.101,,-2.3,0.8,-1.5,0.1
2011-12,30,MIL,NBA,C,56,1469,18.8,.512,.084,.317,9.5,18.0,13.6,16.5,1.6,1.7,12.7,25.7,,2.0,1.5,3.6,.116,,0.7,0.3,1.0,1.1
2012-13,31,MIL,NBA,C,16,151,7.7,.382,.082,.262,8.9,13.3,11.0,6.1,1.7,2.9,11.7,22.2,,-0.3,0.2,-0.1,-0.034,,-6.5,-0.7,-7.2,-0.2
2013-14,32,WAS,NBA,C,22,395,18.4,.591,.119,.189,10.7,23.0,16.7,6.3,1.3,1.5,9.9,19.7,,0.9,0.6,1.4,.173,,-0.2,-0.8,-0.9,0.1
2014-15,33,WAS,NBA,PF,51,864,11.9,.469,.214,.159,9.6,19.3,14.5,8.6,1.2,0.8,8.7,17.0,,0.5,1.2,1.7,.094,,-1.8,0.2,-1.6,0.1
2015-16,34,WAS,NBA,PF,30,305,7.5,.376,.398,.136,10.1,21.3,15.6,6.0,1.3,2.9,10.6,17.5,,-0.4,0.4,0.0,-0.005,,-5.1,0.1,-5.0,-0.2
