Player,Sim,1,2,3,4
Donte Greene,,1.5,0.7,0.5,-1.1
Lonny Baxter,45.2,1.5,0.9,0.7,-0.2
Calvin Garrett,44.2,1.4,0.6,0.6,0.0
Art Spector,43.6,1.4,1.0,0.6,-0.2
Billy Schaeffer,35.5,1.9,0.8,0.5,
John Fairchild,34.9,1.7,0.7,0.0,-0.6
Patrick McFarland,34.2,1.3,0.7,0.4,
Ron Riley,30.1,1.6,0.7,0.2,0.0
Hank Whitney,29.7,1.8,1.1,0.5,
Joe Kopicki,29.2,1.9,0.9,0.7,
Adrian Branch,28.1,1.5,0.7,0.0,-0.1
