Player,Sim,1,2,3,4,5,6,7,8
Chris Johnson,,1.4,1.1,0.8,0.2,,,,
Steve Green,84.3,1.2,1.1,0.7,0.4,,,,
Fred Saunders,80.7,1.3,1.2,0.5,0.1,,,,
Yi Jianlian,80.3,1.3,0.7,0.7,0.4,0.0,,,
Keith Lee,79.7,1.9,1.1,0.8,,,,,
Art Spector,79.4,1.4,1.0,0.6,-0.2,,,,
Lonny Baxter,77.5,1.5,0.9,0.7,-0.2,,,,
Anthony Miller,77.5,1.2,1.2,0.8,0.6,0.0,0.0,0.0,-0.1
Bob Portman,76.5,1.9,1.2,0.8,0.5,,,,
Ray Tolbert,76.3,1.1,0.8,0.7,0.3,0.0,,,
Tom Workman,76.2,1.4,1.3,0.4,0.1,,,,
