Season,Team,Lg,Salary
2007-08,Portland Trail Blazers,NBA,"$427,163"
2008-09,Indiana Pacers,NBA,"$711,517"
2009-10,Indiana Pacers,NBA,"$825,497"
2010-11,Indiana Pacers,NBA,"$885,120"
2011-12,Los Angeles Lakers,NBA,"$3,000,000"
2012-13,Charlotte Bobcats,NBA,"$3,135,000"
2013-14,Charlotte Bobcats,NBA,"$2,652,000"
2014-15,Miami Heat,NBA,"$5,305,000"
2015-16,Miami Heat,NBA,"$5,543,725"
