Player,Sim,1,2,3,4,5,6,7,8,9
Maurice Taylor,,3.7,3.2,1.8,0.9,0.7,0.5,-0.1,-0.3,-0.5
Stacey King,82.8,3.6,3.1,1.9,1.5,0.9,0.1,0.0,-0.2,
Terry Davis,81.1,3.6,3.1,2.0,1.4,0.5,0.5,0.5,0.4,-0.1
Jahidi White,80.7,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,,
Don Adams,79.8,3.6,2.9,1.6,1.1,0.9,0.8,0.7,,
Luke Walton,77.5,3.8,3.2,2.0,2.0,1.6,0.5,0.3,-0.2,-0.4
Dave Budd,77.3,4.1,3.2,2.3,1.2,0.9,,,,
Dwight Davis,77.1,3.7,3.3,2.3,1.5,0.6,,,,
Michael Kidd-Gilchrist,76.1,3.8,3.1,2.1,0.6,,,,,
Lawrence Funderburke,75.8,3.7,3.1,2.1,1.9,1.6,0.5,0.1,,
James Johnson,74.7,4.1,3.0,2.6,1.3,0.8,0.6,-0.5,,
