Player,Sim,1,2,3,4,5,6,7,8
Michael Beasley,,4.6,3.4,1.7,1.6,1.0,0.5,-0.1,-1.5
Ed Conlin,76.1,4.7,4.3,2.0,2.0,0.7,0.5,-0.1,
Linas Kleiza,74.3,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,
Tony Campbell,74.0,5.3,3.7,2.5,1.4,1.1,0.4,0.4,-0.3
Stacey King,72.9,3.6,3.1,1.9,1.5,0.9,0.1,0.0,-0.2
Larry McNeill,72.7,4.4,4.3,2.3,1.5,0.7,0.1,,
Dave Budd,72.3,4.1,3.2,2.3,1.2,0.9,,,
Luke Walton,72.1,3.8,3.2,2.0,2.0,1.6,0.5,0.3,-0.2
Maurice Taylor,71.9,3.7,3.2,1.8,0.9,0.7,0.5,-0.3,-0.5
Andray Blatche,71.4,4.9,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Travis Outlaw,71.3,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0.0
