Player,Sim,1,2,3,4
Damion James,,0.1,0.0,0.0,-0.2
Lester Hudson,-92.9,0.2,0.1,0.1,-0.1
Jared Cunningham,-93.1,0.1,0.1,0.0,0.0
Jannero Pargo,-93.6,0.2,0.1,0.1,-0.1
Dominique Jones,-94.5,0.2,0.0,0.0,
Awvee Storey,-94.6,0.2,0.1,0.0,
Sean Higgins,-94.7,0.4,0.0,0.0,-0.1
Jimmy Oliver,-95.3,0.2,0.2,0.0,-0.1
Manny Harris,-95.3,0.3,0.0,0.0,
Andre Barrett,-95.9,0.4,0.0,0.0,-0.1
Mike Price,-96.2,0.2,0.2,0.1,
