Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2006-07,19,MIL,NBA,PF,66,973,12.1,.500,.408,.245,6.9,16.0,11.4,7.8,1.4,1.4,11.3,21.0,,0.5,0.5,1.0,.051,,-1.1,-2.3,-3.4,-0.4
2009-10,22,MIL,NBA,PF,81,1898,15.7,.526,.331,.217,9.0,22.6,15.5,7.5,1.5,1.0,8.2,20.8,,2.5,3.3,5.8,.146,,0.3,0.5,0.8,1.3
2010-11,23,MIL,NBA,PF,60,1505,14.3,.516,.239,.205,7.9,20.7,14.1,6.6,1.8,1.3,10.2,19.1,,1.1,2.7,3.8,.121,,-1.4,1.2,-0.3,0.7
2011-12,24,MIL,NBA,PF,60,1655,20.5,.577,.188,.307,12.7,22.8,17.6,7.0,1.3,2.0,10.1,20.1,,4.4,2.0,6.4,.185,,2.2,-0.2,2.0,1.7
2012-13,25,MIL,NBA,PF,73,2012,18.3,.552,.267,.196,7.9,20.3,13.9,9.6,1.7,1.3,7.9,20.5,,4.1,2.5,6.7,.159,,1.7,0.1,1.8,1.9
2013-14,26,MIL,NBA,PF,55,1478,13.8,.486,.226,.225,8.0,18.8,13.3,8.4,1.6,0.4,8.7,21.3,,0.9,0.8,1.6,.053,,-1.1,-2.1,-3.2,-0.5
2014-15,27,MIL,NBA,PF,58,1319,16.8,.554,.341,.192,7.0,17.0,12.0,7.4,1.4,1.2,6.9,22.1,,2.3,1.7,4.0,.146,,1.2,-1.4,-0.2,0.6
2015-16,28,TOT,NBA,PF,74,1881,14.2,.526,.392,.233,8.1,15.6,11.7,5.6,1.4,1.4,8.9,18.6,,2.4,2.0,4.4,.113,,0.4,-0.3,0.1,1.0
2015-16,28,DET,NBA,PF,52,1434,14.1,.530,.423,.215,7.3,14.5,10.7,6.1,1.3,1.4,9.6,18.7,,1.8,1.5,3.3,.111,,0.6,0.1,0.7,1.0
2015-16,28,ORL,NBA,PF,22,447,14.7,.515,.288,.294,11.0,19.1,15.0,4.0,1.6,1.1,6.5,18.3,,0.6,0.5,1.1,.117,,-0.5,-1.6,-2.1,0.0
2016-17,29,TOT,NBA,PF,49,1351,16.1,.570,.466,.203,5.4,19.1,12.3,10.9,1.1,0.9,10.4,23.1,,1.6,1.4,2.9,.104,,1.3,-1.0,0.3,0.8
2016-17,29,OKC,NBA,PF,3,62,6.9,.469,.750,.000,3.6,24.8,14.3,2.3,2.4,1.3,20.0,13.8,,-0.1,0.1,0.0,.010,,-5.8,-0.4,-6.3,-0.1
2016-17,29,PHI,NBA,PF,46,1289,16.5,.573,.458,.209,5.5,18.8,12.2,11.3,1.1,0.9,10.1,23.5,,1.6,1.3,2.9,.109,,1.6,-1.0,0.6,0.8
