Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Desmond Mason,,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0.0,-0.2,-0.3,,
Brandan Wright,86.2,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7,,,,
Mitch Kupchak,85.2,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0.0,,,
Luke Jackson,85.0,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,,
Goo Kennedy,84.5,5.7,5.0,4.5,4.0,0.8,0.3,,,,,,
Tracy Murray,82.0,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
George Carter,80.7,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,,,,
Paul Griffin,80.1,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,,,
Greg Smith,79.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0.0,,,,
Walter Simon,79.7,6.1,4.8,4.5,4.1,3.4,2.7,2.0,,,,,
Dorell Wright,79.1,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,
