Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Amir Johnson,,7.3,6.3,5.9,5.6,5.1,4.5,4.0,3.0,2.7,0.5,0.2
Thaddeus Young,93.7,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1,,
Rudy Gay,93.0,6.4,6.1,6.0,5.5,5.0,4.8,4.0,3.8,3.3,0.5,
Cliff Levingston,92.5,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5
Kurt Thomas,92.1,8.2,6.5,5.4,5.2,5.2,5.0,3.8,3.3,2.5,0.5,-0.2
Keith Van Horn,91.2,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,,
Caron Butler,91.2,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.2
Marvin Williams,91.1,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3
Jeff Foster,90.9,8.3,6.5,5.7,5.4,4.5,4.2,4.2,2.7,1.6,0.6,0.4
Wayman Tisdale,90.5,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7
Robert Horry,90.4,6.9,6.6,5.9,5.7,4.9,4.8,4.2,3.6,2.9,2.6,1.7
