Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Anthony Morrow,,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7,,,
Maurice Evans,90.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,
Lionel Hollins,90.1,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,
Chris Childs,88.9,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,,
Darwin Cook,88.8,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,,
Herm Gilliam,88.4,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Eric Gordon,87.6,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,,
Jim Price,87.6,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
Marco Belinelli,86.8,5.9,3.4,3.0,2.9,2.9,1.2,0.5,0.5,0.0,,
Johnny Egan,86.5,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0
Greg Buckner,86.5,4.8,3.8,3.1,2.3,2.2,2.0,1.8,0.3,0.3,0.1,
