Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
J.J. Barea,,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1,,,
Steve Colter,89.2,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,,
Clint Richardson,88.6,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,,
Tyronn Lue,86.4,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,
Fatty Taylor,86.1,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,,,,
Earl Watson,85.5,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2
Rod Thorn,85.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,,,
Mike McGee,83.8,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,,,,
Jerryd Bayless,83.7,4.0,2.7,2.4,2.4,2.4,2.0,1.6,0.3,,,,,
Mickael Pietrus,82.9,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,,,
John Battle,82.6,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,
