Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eddy Curry,,4.7,4.3,3.5,3.3,3.0,1.8,1.7,0.0,-0.1,-0.1,-0.3
Nazr Mohammed,88.8,4.6,4.5,3.7,3.4,3.3,2.5,2.3,0.4,0.0,0.0,-0.1
John Gianelli,88.0,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,
Chris Dudley,87.4,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.0,0.2,0.1,0.0
Walter Dukes,83.9,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,
Otto Moore,82.8,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,
Jim Davis,82.4,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,
Kevin Kunnert,81.9,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,
Oliver Miller,81.8,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,
Steve Johnson,81.7,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0.0,
Coby Dietrick,81.5,4.5,4.4,4.1,3.0,2.9,2.5,2.3,2.1,0.3,0.1,0.0
