Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Spencer Hawes,,4.5,4.5,2.9,2.4,2.1,1.9,1.2,0.8,0.6,,,,
Randy Breuer,91.9,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Mikki Moore,88.3,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Jim Davis,85.8,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,,,
Bob Ferry,84.8,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,,,
Otto Moore,84.6,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,
Dennis Awtrey,83.4,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0,0.7,0.6,0.6,0.0,
Marreese Speights,83.3,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,,,,,
Kevin Kunnert,82.6,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Felton Spencer,81.9,5.6,4.7,2.4,2.0,2.0,1.3,1.1,0.9,0.5,0.4,0.3,-0.1,
Len Elmore,81.8,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,
