Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Samuel Dalembert,,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3,0.3,,,,,,
Rik Smits,88.7,7.8,7.2,6.6,6.1,5.0,4.3,3.8,3.4,3.4,3.3,2.9,2.7,,,,,,,
James Edwards,88.5,7.1,7.0,6.7,5.6,4.5,4.4,4.3,3.7,3.5,3.0,2.8,2.8,1.5,1.4,1.0,0.4,0.3,0.0,-0.2
Erick Dampier,87.5,8.9,6.4,6.1,6.0,4.8,4.5,4.1,4.0,3.7,1.9,1.5,0.9,0.3,0.1,-0.1,-0.5,,,
Mark Eaton,87.5,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,,,,,,,
Theo Ratliff,87.5,6.7,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0,,,
Mychal Thompson,87.1,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,,,,,,,
Rick Mahorn,86.8,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.9,0.5,0.3,0.1,0.0,
Brendan Haywood,86.8,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0.0,,,,,,
Darryl Dawkins,85.8,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2,,,,,
Andrew Bogut,85.8,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.5,,,,,,,,
