Player,Sim,1,2,3,4,5
Greg Smith,,4.0,0.8,0.2,0.2,0.2
Will Frazier,82.9,3.8,0.9,-0.1,,
Carlos Rogers,81.1,4.0,0.9,0.9,0.5,0.0
Lee Davis,76.3,3.7,1.5,0.6,0.2,0.2
DeSagana Diop,74.0,4.1,1.0,0.0,-0.2,-0.3
Michael Stewart,71.4,3.0,0.7,0.2,0.1,0.1
Alex Len,70.6,3.4,1.3,0.2,,
Rich Niemann,66.9,4.4,1.4,1.2,0.2,
Joel Przybilla,64.3,4.7,1.9,0.6,0.1,0.1
Gustavo Ayon,64.2,3.2,1.2,0.7,,
Erick Dampier,64.0,4.0,1.5,0.9,-0.1,-0.5
