Player,Sim,1,2,3,4,5,6,7,8
Maceo Baston,,1.1,0.5,0.4,0.3,,,,
Shavlik Randolph,78.8,1.1,0.7,0.4,0.1,0.0,0.0,0.0,0.0
Ronald Dupree,77.0,1.0,0.5,0.3,0.1,0.0,0.0,,
Cal Bowdler,75.1,1.0,0.5,0.2,,,,,
Ray Tolbert,73.7,1.1,0.8,0.7,0.3,0.0,,,
Tremaine Fowlkes,73.6,1.2,0.5,0.4,0.0,,,,
Josh Powell,73.3,1.1,0.7,0.6,0.3,0.0,0.0,-0.2,
Loren Woods,72.0,1.1,0.7,0.5,0.4,0.4,0.1,,
Jerome Lane,70.7,1.2,0.6,0.5,0.1,-0.2,,,
Jerrod Mustaf,70.5,0.8,0.5,0.4,0.0,,,,
Yi Jianlian,70.2,1.3,0.7,0.7,0.4,0.0,,,
