Player,Sim,1,2,3,4,5,6,7
Nenad Krstic,,5.4,4.4,4.2,4.0,1.9,1.7,-0.1
Tim McCormick,91.2,6.0,4.6,3.9,3.8,2.0,1.1,-0.1
Lloyd Neal,89.7,4.8,4.7,4.3,4.3,2.9,1.8,-0.1
Kelvin Cato,88.5,5.3,4.6,4.2,3.8,2.7,1.7,1.6
Blair Rasmussen,87.6,5.2,4.2,3.3,3.0,1.8,1.7,-0.1
Jack Nichols,85.9,6.7,4.4,4.3,4.1,1.6,0.3,
Matt Geiger,85.7,5.9,4.7,4.5,4.3,2.7,1.9,1.2
Greg Ostertag,85.4,5.9,4.2,3.8,3.8,2.2,2.1,1.4
Mel Counts,84.6,5.0,4.3,4.2,2.9,2.7,1.5,1.0
Benoit Benjamin,84.6,5.4,5.1,4.0,3.0,2.2,2.0,1.1
Dave Corzine,84.4,5.2,5.1,4.7,4.0,2.9,1.1,0.9
