Season,Team,Lg,Salary
2005-06,Utah Jazz,NBA,"$3,487,400"
2006-07,Utah Jazz,NBA,"$3,749,040"
2007-08,Utah Jazz,NBA,"$4,010,640"
2008-09,Utah Jazz,NBA,"$5,069,449"
2009-10,Utah Jazz,NBA,"$12,323,900"
2010-11,New Jersey Nets,NBA,"$14,940,152"
2011-12,New Jersey Nets,NBA,"$16,359,805"
2012-13,Brooklyn Nets,NBA,"$17,177,795"
2013-14,Brooklyn Nets,NBA,"$18,466,130"
2014-15,Brooklyn Nets,NBA,"$19,754,465"
2015-16,Brooklyn Nets,NBA,"$5,500,000"
2015-16,Dallas Mavericks,NBA,"$5,500,000"
