Player,Sim,1,2,3,4,5
Byron Mullens,,0.5,0.2,0.1,-0.1,-0.2
Kyrylo Fesenko,58.0,0.6,0.3,0.1,0.0,-0.1
Uwe Blab,38.1,0.5,0.3,0.1,-0.1,-0.4
Alan Ogg,36.9,0.5,0.3,0.0,,
Jabari Smith,29.3,0.7,0.5,0.2,0.0,
Olumide Oyedeji,29.3,0.4,0.4,0.3,,
Shawnelle Scott,27.9,0.5,0.4,0.2,0.2,
Dave Feitl,25.1,0.5,0.4,0.3,0.2,0.1
Chris Engler,24.7,0.3,0.2,0.2,0.0,0.0
George Zidek,22.2,0.6,0.3,0.0,,
Chris Welp,20.9,0.7,0.3,0.0,,
