Player,Sim,1,2,3,4,5,6
Earl Clark,,2.3,0.3,0.3,0.3,-0.1,-0.3
Bud Olsen,74.0,2.5,0.5,0.4,0.2,0.2,-0.3
Gerard King,73.3,2.3,0.5,0.2,,,
Larry Spriggs,69.3,2.6,0.5,0.3,0.1,0.0,
J.J. Anderson,69.0,2.3,0.2,0.1,,,
Sean May,68.2,2.2,0.4,0.3,-0.3,,
Henry James,66.7,2.0,0.6,0.3,0.2,0.1,0.1
Sean Williams,66.4,2.5,0.4,0.3,-0.2,,
Linton Johnson,65.1,1.9,0.4,0.4,0.0,0.0,0.0
Bernard Thompson,63.8,2.1,0.9,0.2,0.1,0.0,
Bob Quick,62.6,2.6,0.8,0.6,0.3,,
