Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,TOT,NBA,C,41,8,595,3.8,6.7,.559,0.0,0.0,,3.8,6.7,.559,2.4,3.6,.650,2.2,4.9,7.1,1.2,0.9,1.5,2.1,6.3,9.9
2010-11,24,BOS,NBA,C,37,7,531,3.9,6.6,.598,0.0,0.0,,3.9,6.6,.598,2.3,3.7,.630,2.1,5.2,7.3,1.3,0.9,1.4,2.2,6.2,10.2
2010-11,24,CLE,NBA,C,4,1,64,2.3,7.9,.286,0.0,0.0,,2.3,7.9,.286,2.8,3.4,.833,3.4,2.8,6.2,0.6,1.1,1.7,1.1,6.8,7.3
2011-12,25,CLE,NBA,C,28,9,333,4.2,8.0,.527,0.0,0.0,,4.2,8.0,.527,2.3,4.4,.512,2.2,5.6,7.8,1.0,1.1,0.5,1.7,6.5,10.7
