Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2007-08,22,BOS,NBA,C,17,137,.412,6.6,.971,.529,.147,.147,.147,.029,.424,.500,.400,.400,.200,.000,.714,.088,3,,.000,,0,0
2008-09,23,BOS,NBA,C,14,510,.491,9.7,1.000,.417,.086,.120,.377,.000,.491,.644,.400,.476,.348,,.802,.034,6,,,,0,0
2009-10,24,BOS,NBA,PF,24,483,.476,7.4,.976,.565,.089,.073,.250,.024,.488,.586,.364,.333,.355,.000,.831,.024,3,,.333,.000,0,0
2010-11,25,BOS,NBA,C,9,191,.391,10.5,.978,.239,.261,.174,.304,.022,.400,.364,.333,.375,.500,.000,.611,.000,0,,.000,,0,0
2011-12,26,ORL,NBA,PF,5,190,.438,9.7,1.000,.393,.090,.135,.382,.000,.438,.543,.500,.417,.324,,.769,.067,5,,,,0,0
2013-14,28,LAC,NBA,PF,13,158,.610,7.8,1.000,.439,.195,.146,.220,.000,.610,.722,.375,.500,.667,,.920,.000,0,,,,0,0
2014-15,29,LAC,NBA,PF,14,144,.447,8.1,.974,.368,.342,.026,.237,.026,.459,.500,.385,1.000,.444,.000,.824,.053,2,,.000,,1,0
