Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2009-10,23,MEM,NBA,SF,71,795,8.5,.426,.027,.239,7.8,14.3,11.0,5.9,1.8,0.9,8.9,14.8,,-0.1,0.6,0.5,.031,,-3.4,-0.7,-4.1,-0.4
2010-11,24,TOT,NBA,PF,12,50,8.7,.388,.000,.167,4.7,14.5,9.6,10.7,1.0,1.6,0.0,11.6,,0.0,0.0,0.1,.066,,-4.5,-1.3,-5.8,0.0
2010-11,24,MEM,NBA,PF,7,39,12.4,.506,.000,.222,6.1,18.6,12.3,7.3,1.3,2.1,0.0,11.4,,0.1,0.0,0.1,.145,,-2.0,0.5,-1.5,0.0
2010-11,24,HOU,NBA,PF,5,11,-4.5,.000,.000,.000,0.0,0.0,0.0,22.8,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,-0.214,,-13.3,-7.8,-21.1,-0.1
2011-12,25,TOT,NBA,SF-PF,24,348,11.1,.478,.181,.152,9.1,8.3,8.8,8.1,1.8,0.2,8.9,15.9,,0.3,0.2,0.5,.069,,0.0,-1.3,-1.3,0.1
2011-12,25,DEN,NBA,PF,4,21,25.2,1.000,.000,.000,0.0,16.2,8.3,27.7,0.0,0.0,25.0,17.0,,0.1,0.0,0.1,.211,,4.8,-3.4,1.4,0.0
2011-12,25,UTA,NBA,SF,20,327,10.1,.448,.192,.162,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,,0.2,0.2,0.4,.060,,-0.3,-1.1,-1.5,0.0
2012-13,26,UTA,NBA,SF,66,1111,15.5,.535,.216,.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,,2.0,1.1,3.1,.134,,1.4,0.7,2.0,1.1
2013-14,27,ATL,NBA,SF,73,2341,13.9,.575,.417,.220,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,,3.2,2.6,5.8,.119,,1.0,1.1,2.1,2.4
2014-15,28,ATL,NBA,SF,70,2189,15.9,.603,.466,.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,,4.3,2.8,7.0,.154,,2.4,0.5,2.9,2.7
2015-16,29,TOR,NBA,SF,26,786,11.9,.490,.437,.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,,0.2,1.0,1.2,.074,,0.0,0.3,0.2,0.4
2016-17,30,TOR,NBA,SF,46,1214,12.1,.528,.578,.201,3.7,12.3,7.9,4.6,2.3,1.3,7.7,16.1,,1.1,1.1,2.2,.088,,0.6,-0.2,0.4,0.7
