Season,Team,Lg,Salary
2008-09,Indiana Pacers,NBA,"$1,799,160"
2009-10,Indiana Pacers,NBA,"$1,934,160"
2010-11,Indiana Pacers,NBA,"$2,069,049"
2011-12,Golden State Warriors,NBA,"$2,956,658"
2012-13,Golden State Warriors,NBA,"$4,000,000"
2013-14,Utah Jazz,NBA,"$4,000,000"
2014-15,Golden State Warriors,NBA,"$1,145,685"
2015-16,Golden State Warriors,NBA,"$1,270,964"
