Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,LAC,NBA,SF,76,70,36.4,5.9,13.5,.438,0.8,2.2,.360,5.1,11.3,.453,.467,4.0,5.5,.719,2.1,5.7,7.8,4.2,1.2,1.3,3.4,3.8,16.6
2000-01,21,LAC,NBA,PF,76,74,37.3,6.3,13.8,.460,1.1,3.3,.316,5.3,10.4,.506,.498,3.4,5.1,.679,1.4,6.3,7.8,5.2,1.0,1.6,3.5,3.1,17.2
2001-02,22,LAC,NBA,SF,29,25,34.4,5.2,12.4,.419,0.6,2.9,.190,4.7,9.5,.489,.442,2.1,3.2,.656,1.1,5.0,6.1,5.9,0.8,1.2,3.3,3.1,13.1
2002-03,23,LAC,NBA,SF,49,47,34.3,5.5,12.5,.439,0.9,2.6,.326,4.6,9.8,.469,.473,2.8,3.6,.777,1.2,5.4,6.7,3.6,0.9,0.8,2.9,3.7,14.6
2003-04,24,MIA,NBA,PF,80,80,37.5,6.1,14.1,.430,0.8,2.6,.298,5.3,11.5,.460,.457,4.3,5.7,.742,2.0,7.7,9.7,4.1,1.1,0.9,3.0,3.4,17.1
2004-05,25,LAL,NBA,PF,64,64,36.3,5.7,12.1,.473,0.6,1.8,.308,5.2,10.3,.502,.496,3.2,4.7,.695,2.1,8.1,10.2,3.7,0.7,1.0,2.5,3.3,15.2
2005-06,26,LAL,NBA,PF,80,80,40.3,5.6,11.6,.481,1.0,2.7,.372,4.6,8.9,.514,.524,2.7,3.9,.690,2.3,7.0,9.2,5.5,0.9,0.8,2.7,3.2,14.8
2006-07,27,LAL,NBA,PF,56,56,39.3,5.7,12.2,.468,1.0,3.3,.297,4.7,8.9,.531,.508,3.5,5.1,.700,1.8,7.9,9.8,4.8,0.9,0.6,2.9,3.3,15.9
2007-08,28,LAL,NBA,PF,77,77,37.9,5.4,10.3,.525,0.4,1.5,.274,5.0,8.9,.566,.544,3.0,4.3,.698,2.6,8.1,10.6,3.5,1.0,0.9,2.0,2.9,14.2
2008-09,29,LAL,NBA,PF,78,32,29.7,4.4,9.0,.492,0.4,1.3,.320,4.0,7.7,.522,.516,2.1,3.3,.623,2.3,5.9,8.2,2.6,1.0,1.3,1.8,3.0,11.3
2009-10,30,LAL,NBA,PF,82,38,31.5,4.2,9.0,.463,0.7,2.2,.319,3.5,6.8,.510,.502,1.7,2.5,.693,2.2,7.5,9.8,3.3,0.9,0.7,1.8,2.8,10.8
2010-11,31,LAL,NBA,PF,82,35,32.2,5.8,10.9,.530,0.8,2.2,.382,4.9,8.7,.566,.568,2.0,3.0,.675,2.1,6.5,8.7,3.0,0.6,0.7,1.7,2.4,14.4
2011-12,32,DAL,NBA,SF,50,4,20.5,2.5,7.0,.352,0.6,2.2,.252,1.9,4.8,.399,.393,1.2,2.0,.592,0.7,3.4,4.2,1.7,0.4,0.4,1.0,1.9,6.6
2012-13,33,LAC,NBA,PF,82,2,19.7,1.8,4.5,.399,0.2,1.1,.200,1.6,3.4,.464,.423,0.2,0.5,.476,1.4,4.4,5.9,1.7,0.8,0.7,1.0,2.6,4.0
