Player,Sim,1,2,3,4
Josh Boone,,3.7,1.8,1.8,1.7
George Kaftan,87.8,3.4,2.4,1.7,1.6
Ron Behagen,87.2,4.3,2.2,2.0,1.8
Mark Landsberger,87.0,3.4,2.2,2.2,1.9
J.R. Reid,86.9,3.4,2.1,1.8,1.1
Bob Doll,86.1,4.0,2.8,1.8,1.6
J.J. Hickson,85.6,4.3,1.7,1.5,1.5
Trevor Ariza,84.8,3.4,2.1,1.8,0.9
Reggie Evans,84.5,3.8,3.0,2.1,1.7
Ryan Bowen,84.2,3.1,2.1,1.7,1.4
Tim Bassett,84.2,3.7,2.6,2.4,1.5
