Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,26,HOU,NBA,C,35,624,.577,3.7,1.000,.613,.243,.099,.045,.000,.577,.750,.407,.182,.000,,.922,.324,32,,,,0,0
2001-02,27,HOU,NBA,C,75,1917,.583,2.7,.997,.752,.132,.071,.043,.003,.585,.690,.163,.348,.429,.000,.784,.475,129,,.000,,0,0
2002-03,28,HOU,NBA,C,73,1247,.520,4.1,.984,.648,.191,.109,.035,.016,.528,.657,.286,.250,.333,.000,.789,.352,79,,.000,,2,0
2003-04,29,HOU,NBA,PF,69,1743,.447,5.4,1.000,.539,.183,.161,.117,.000,.447,.624,.242,.259,.214,,.839,.283,87,,,,0,0
2004-05,30,ORL,NBA,C,62,1525,.539,5.5,1.000,.576,.128,.178,.118,.000,.539,.655,.500,.321,.343,,.775,.293,78,,,,0,0
2005-06,31,TOT,NBA,C,27,333,.429,6.8,1.000,.393,.286,.167,.155,.000,.429,.667,.208,.286,.385,,.833,.143,10,,,,0,0
2005-06,31,ORL,NBA,C,23,299,.431,6.2,1.000,.417,.306,.153,.125,.000,.431,.633,.227,.364,.333,,.806,.153,9,,,,0,0
2005-06,31,DET,NBA,C,4,34,.417,10.6,1.000,.250,.167,.250,.333,.000,.417,1.000,.000,.000,.500,,1.000,.083,1,,,,0,0
2006-07,32,NYK,NBA,C,18,95,.318,3.6,1.000,.682,.182,.045,.091,.000,.318,.200,.750,.000,.500,,.571,.136,2,,,,0,0
