Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kelvin Cato,,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,,,,,
Steve Johnson,92.0,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0.0,,,,,
Matt Geiger,89.4,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,,,
Sam Bowie,87.8,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,,,,,
Kevin Duckworth,84.8,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0.0,-0.1,-0.2,-0.5,,,,
Will Perdue,84.5,4.7,4.7,4.4,3.4,2.5,2.5,2.3,1.5,0.5,0.3,0.2,-0.1,-0.5,,
Greg Ostertag,83.3,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,
LaSalle Thompson,81.4,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.2,0.1,0.0,-0.3
Andrew Lang,80.8,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,
Roy Hibbert,80.7,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,,,,,,,
Benoit Benjamin,80.6,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0,0.0,-0.1
